fuel_type,mpg_city,mpg_highway,co2
gasoline,21,26,386.3913043
gasoline,19,24,423.1904762
gasoline,17,22,467.7368421
gasoline,18,24,444.35
gasoline,17,22,467.7368421
gasoline,17,26,444.35
diesel,16,19,598.8235294
gasoline,19,26,423.1904762
gasoline,18,26,423.1904762
gasoline,16,22,467.7368421
gasoline,18,26,423.1904762
gasoline,18,28,403.9545455
gasoline,15,22,493.7222222
gasoline,17,25,444.35
gasoline,18,23,444.35
gasoline,18,25,423.1904762
gasoline,17,22,467.7368421
gasoline,10,12,807.9090909
gasoline,17,25,444.35
gasoline,15,23,493.7222222
gasoline,15,23,522.7647059
gasoline,15,23,493.7222222
gasoline,15,23,522.7647059
gasoline,18,24,444.35
gasoline,20,25,403.9545455
gasoline,17,23,467.7368421
gasoline,16,21,493.7222222
gasoline,16,22,493.7222222
gasoline,18,24,444.35
gasoline,18,24,444.35
gasoline,21,25,403.9545455
gasoline,17,21,493.7222222
gasoline,17,21,467.7368421
gasoline,17,22,467.7368421
gasoline,18,24,444.35
gasoline,20,25,403.9545455
gasoline,17,23,467.7368421
gasoline,16,21,493.7222222
gasoline,15,22,493.7222222
gasoline,19,24,423.1904762
gasoline,16,22,493.7222222
gasoline,19,22,444.35
gasoline,17,22,467.7368421
gasoline,16,22,493.7222222
gasoline,17,21,467.7368421
gasoline,17,22,467.7368421
gasoline,15,20,522.7647059
gasoline,15,20,522.7647059
gasoline,14,20,555.4375
gasoline,15,19,555.4375
gasoline,19,26,403.9545455
gasoline,14,17,592.4666667
gasoline,13,18,592.4666667
gasoline,13,17,634.7857143
gasoline,12,17,634.7857143
gasoline,12,16,634.7857143
gasoline,9,12,888.7
gasoline,15,20,522.7647059
gasoline,14,20,555.4375
gasoline,15,19,555.4375
gasoline,13,17,634.7857143
gasoline,15,20,522.7647059
gasoline,13,18,592.4666667
gasoline,13,17,634.7857143
gasoline,12,17,634.7857143
gasoline,11,16,683.6153846
gasoline,19,25,403.9545455
gasoline,14,18,555.4375
gasoline,14,20,555.4375
gasoline,13,17,634.7857143
gasoline,14,16,592.4666667
gasoline,14,18,592.4666667
gasoline,15,19,555.4375
gasoline,14,17,592.4666667
gasoline,11,16,683.6153846
gasoline,12,16,683.6153846
gasoline,11,15,683.6153846
gasoline,10,14,740.5833333
gasoline,14,16,634.7857143
gasoline,11,16,683.6153846
gasoline,11,16,683.6153846
gasoline,12,16,683.6153846
gasoline,11,15,683.6153846
gasoline,15,20,522.7647059
gasoline,10,14,740.5833333
gasoline,18,20,467.7368421
gasoline,17,20,493.7222222
gasoline,14,18,592.4666667
gasoline,15,19,555.4375
gasoline,14,18,592.4666667
gasoline,15,17,592.4666667
gasoline,14,18,592.4666667
gasoline,13,18,592.4666667
gasoline,13,18,592.4666667
gasoline,19,22,444.35
gasoline,14,15,634.7857143
gasoline,14,18,592.4666667
gasoline,11,16,683.6153846
gasoline,14,18,592.4666667
gasoline,15,17,592.4666667
gasoline,14,18,592.4666667
gasoline,13,17,634.7857143
gasoline,13,15,634.7857143
gasoline,14,18,592.4666667
gasoline,11,15,740.5833333
gasoline,20,23,423.1904762
gasoline,18,22,444.35
gasoline,20,26,403.9545455
gasoline,16,22,493.7222222
gasoline,17,23,467.7368421
gasoline,15,20,522.7647059
gasoline,16,22,493.7222222
gasoline,15,20,522.7647059
gasoline,15,20,522.7647059
gasoline,14,20,555.4375
gasoline,15,19,555.4375
gasoline,26,29,329.1481481
gasoline,15,17,555.4375
gasoline,14,17,592.4666667
gasoline,13,18,592.4666667
gasoline,13,17,634.7857143
gasoline,12,17,634.7857143
gasoline,12,16,634.7857143
gasoline,15,20,522.7647059
gasoline,14,20,555.4375
gasoline,15,19,555.4375
gasoline,13,17,634.7857143
gasoline,13,17,592.4666667
gasoline,16,18,522.7647059
gasoline,13,17,634.7857143
gasoline,12,17,634.7857143
gasoline,11,16,683.6153846
gasoline,18,23,444.35
gasoline,18,24,444.35
gasoline,18,24,444.35
gasoline,21,24,403.9545455
gasoline,17,22,467.7368421
gasoline,17,22,467.7368421
gasoline,19,23,423.1904762
gasoline,16,17,555.4375
gasoline,20,26,403.9545455
gasoline,16,21,493.7222222
gasoline,15,19,555.4375
gasoline,15,20,522.7647059
gasoline,14,17,592.4666667
gasoline,14,17,592.4666667
gasoline,14,18,555.4375
gasoline,12,17,634.7857143
gasoline,12,16,683.6153846
gasoline,11,16,683.6153846
gasoline,13,13,683.6153846
gasoline,11,16,683.6153846
gasoline,11,14,740.5833333
diesel,15,20,598.8235294
gasoline,14,17,592.4666667
gasoline,13,17,634.7857143
gasoline,14,17,592.4666667
gasoline,12,17,634.7857143
gasoline,12,16,683.6153846
gasoline,11,16,683.6153846
gasoline,11,16,683.6153846
gasoline,12,16,634.7857143
gasoline,11,14,740.5833333
diesel,15,20,598.8235294
gasoline,15,19,555.4375
gasoline,15,20,555.4375
gasoline,16,20,493.7222222
gasoline,14,17,592.4666667
gasoline,14,18,592.4666667
gasoline,13,17,634.7857143
gasoline,14,18,592.4666667
gasoline,11,16,683.6153846
gasoline,11,16,683.6153846
gasoline,16,19,522.7647059
gasoline,17,20,493.7222222
gasoline,12,16,634.7857143
gasoline,11,16,683.6153846
gasoline,11,15,683.6153846
gasoline,12,15,683.6153846
gasoline,10,14,740.5833333
gasoline,10,13,807.9090909
gasoline,11,15,740.5833333
gasoline,12,15,683.6153846
diesel,15,22,565.5555556
gasoline,10,14,740.5833333
gasoline,10,13,807.9090909
gasoline,18,21,467.7368421
gasoline,17,21,467.7368421
gasoline,14,19,555.4375
gasoline,15,20,522.7647059
gasoline,13,17,634.7857143
gasoline,14,16,592.4666667
gasoline,14,17,592.4666667
gasoline,12,17,634.7857143
gasoline,18,24,444.35
gasoline,12,17,634.7857143
gasoline,12,15,683.6153846
gasoline,12,16,683.6153846
gasoline,11,15,740.5833333
gasoline,19,24,423.1904762
gasoline,16,20,493.7222222
gasoline,16,22,493.7222222
gasoline,15,20,522.7647059
gasoline,16,21,493.7222222
gasoline,14,17,592.4666667
gasoline,19,24,423.1904762
gasoline,14,17,592.4666667
gasoline,14,18,555.4375
gasoline,12,17,634.7857143
gasoline,12,16,683.6153846
gasoline,11,16,683.6153846
gasoline,11,16,683.6153846
gasoline,11,14,740.5833333
diesel,15,20,598.8235294
gasoline,14,17,592.4666667
gasoline,13,17,634.7857143
gasoline,19,26,403.9545455
gasoline,14,17,592.4666667
gasoline,12,17,634.7857143
gasoline,11,16,683.6153846
gasoline,11,16,683.6153846
gasoline,11,16,683.6153846
gasoline,11,14,740.5833333
diesel,15,20,598.8235294
gasoline,15,20,555.4375
gasoline,15,19,555.4375
gasoline,15,20,555.4375
gasoline,31,37,261.3823529
gasoline,15,23,493.7222222
gasoline,15,19,522.7647059
gasoline,14,17,592.4666667
gasoline,16,19,522.7647059
gasoline,17,20,493.7222222
gasoline,15,20,522.7647059
gasoline,15,19,522.7647059
gasoline,16,19,522.7647059
gasoline,16,18,522.7647059
gasoline,17,20,493.7222222
gasoline,12,16,683.6153846
gasoline,16,23,467.7368421
gasoline,13,16,634.7857143
gasoline,14,17,592.4666667
gasoline,14,20,555.4375
gasoline,15,21,522.7647059
gasoline,15,20,522.7647059
gasoline,15,20,522.7647059
gasoline,13,17,592.4666667
gasoline,13,17,634.7857143
gasoline,15,20,555.4375
gasoline,13,18,634.7857143
gasoline,15,22,493.7222222
gasoline,13,16,634.7857143
gasoline,14,16,592.4666667
gasoline,12,17,634.7857143
gasoline,11,13,740.5833333
gasoline,11,16,683.6153846
gasoline,11,15,683.6153846
gasoline,14,16,634.7857143
gasoline,11,16,683.6153846
gasoline,11,14,740.5833333
gasoline,16,22,493.7222222
gasoline,11,12,807.9090909
gasoline,17,23,467.7368421
gasoline,15,20,522.7647059
gasoline,15,20,522.7647059
gasoline,13,15,634.7857143
gasoline,13,17,592.4666667
gasoline,12,17,634.7857143
gasoline,12,17,634.7857143
gasoline,11,15,740.5833333
gasoline,12,14,683.6153846
gasoline,12,17,634.7857143
gasoline,11,13,740.5833333
gasoline,10,14,807.9090909
gasoline,15,20,522.7647059
gasoline,13,17,592.4666667
gasoline,13,17,634.7857143
gasoline,15,20,522.7647059
gasoline,13,18,634.7857143
gasoline,14,20,555.4375
gasoline,15,21,522.7647059
gasoline,15,20,522.7647059
gasoline,14,18,592.4666667
gasoline,12,15,683.6153846
gasoline,14,19,555.4375
gasoline,15,20,522.7647059
gasoline,14,17,592.4666667
gasoline,12,16,683.6153846
gasoline,11,16,683.6153846
gasoline,11,16,683.6153846
gasoline,12,16,634.7857143
gasoline,13,16,634.7857143
gasoline,12,17,634.7857143
gasoline,11,13,740.5833333
gasoline,10,12,807.9090909
gasoline,11,16,683.6153846
gasoline,11,14,740.5833333
gasoline,11,14,740.5833333
gasoline,10,13,740.5833333
gasoline,15,21,522.7647059
gasoline,15,22,522.7647059
gasoline,15,20,522.7647059
gasoline,14,18,555.4375
gasoline,12,17,634.7857143
gasoline,12,16,634.7857143
gasoline,16,19,522.7647059
gasoline,11,15,683.6153846
gasoline,10,14,740.5833333
gasoline,14,17,592.4666667
gasoline,12,16,683.6153846
gasoline,11,16,683.6153846
gasoline,11,16,683.6153846
gasoline,14,18,592.4666667
gasoline,14,19,555.4375
gasoline,15,20,522.7647059
gasoline,15,20,522.7647059
gasoline,17,20,493.7222222
gasoline,16,20,493.7222222
gasoline,15,19,522.7647059
gasoline,15,18,555.4375
gasoline,15,20,522.7647059
gasoline,16,21,493.7222222
gasoline,15,23,493.7222222
gasoline,11,16,683.6153846
gasoline,15,22,493.7222222
gasoline,16,22,493.7222222
gasoline,15,19,555.4375
gasoline,21,26,386.3913043
gasoline,14,17,592.4666667
gasoline,16,21,493.7222222
gasoline,16,22,493.7222222
gasoline,18,24,444.35
gasoline,18,28,423.1904762
gasoline,17,22,467.7368421
gasoline,16,22,493.7222222
gasoline,18,24,444.35
gasoline,18,28,423.1904762
gasoline,17,22,467.7368421
gasoline,27,35,296.2333333
gasoline,21,26,386.3913043
gasoline,16,22,493.7222222
gasoline,11,16,683.6153846
gasoline,11,15,683.6153846
gasoline,18,22,467.7368421
gasoline,14,19,555.4375
gasoline,15,20,522.7647059
gasoline,15,20,522.7647059
gasoline,16,22,493.7222222
gasoline,16,21,493.7222222
gasoline,16,21,493.7222222
gasoline,18,25,423.1904762
gasoline,20,22,423.1904762
gasoline,22,24,386.3913043
gasoline,11,16,683.6153846
gasoline,15,22,493.7222222
gasoline,16,22,493.7222222
gasoline,16,19,522.7647059
gasoline,15,19,522.7647059
gasoline,15,19,522.7647059
gasoline,16,20,522.7647059
gasoline,16,22,493.7222222
gasoline,18,25,444.35
gasoline,15,20,522.7647059
